policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture
cvoi,good,2042,0.09628098039697905,29.74295039855084,10.833333333333334,1.7507079110757102,719,12936,1660.32,0.0,718,1.6444444444444446,4.0,0.9779485526467421,0.3086695789818075,0.022302923090176174,0.025589972275323013,0.028561447240609522
periodic_all,good,2043,0.14904114576115032,48.37969964515999,10.277777777777779,1.7974526978362522,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30759758328303005,0.022165057975860953,0.04589407524587358,0.22050786653983676
round_robin,good,2043,0.09785478516931588,30.00957157043535,11.11111111111111,2.4814474390763936,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.313835676148972,0.02241560277957339,0.024609995064182263,0.030557866684535872
error_trigger,good,2043,0.09597833266334216,29.788899429747165,10.277777777777779,1.7974526978362522,720,12826,1647.12,0.0,720,4.033333333333333,37.0,0.7727663336493743,0.30759758328303005,0.0229669907332692,0.022751017407062413,0.03059773923000697
aoi,good,2043,0.09642043307036363,29.66505253903278,11.666666666666666,2.120960828709172,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3098818699977315,0.02230828354407546,0.02410708587450228,0.02938449286514534
risk,good,2043,0.13525572062256397,41.015610406340514,10.277777777777779,1.7708907766769948,210,3746,557.52,0.0,0,83.69652777777777,360.0,0.5491385613753912,0.2941452132859325,0.06918549635624782,0.03132292831937944,0.14636924452869604
cvoi,good,2043,0.09600124351569866,29.66286511658565,10.277777777777779,1.7974123329127298,718,12912,1657.44,0.0,718,1.6423611111111112,4.0,0.9782271452225368,0.3073284715235717,0.022422763064112283,0.023943350163241874,0.030310389311868816
periodic_all,good,2044,0.10748995853032056,33.72368606296188,10.555555555555555,1.719572311890047,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30867104223310915,0.020521761216182873,0.027708748545176777,0.0730582821268134
round_robin,good,2044,0.09811247070713368,30.140616175123256,11.11111111111111,2.4034729386942995,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.3148692610386793,0.021194947870969556,0.02360750488349285,0.032778169035393045
error_trigger,good,2044,0.09712334700531265,30.21836833614829,10.555555555555555,1.719572311890047,720,12756,1638.72,0.0,720,3.5145833333333334,27.0,0.8167545823095086,0.30867104223310915,0.022052675659743403,0.02540444991160927,0.03236522021678877
aoi,good,2044,0.09679777475357837,29.861849947096673,11.666666666666666,2.069474460465729,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.31099131747718867,0.0209189164443546,0.023582775673991262,0.031698089418778934
risk,good,2044,0.11002989919772624,33.09036752908278,10.277777777777779,1.6945382693615647,201,3618,542.16,0.0,0,136.34791666666666,360.0,0.7607011062047405,0.2985272047202566,0.04082536139865818,0.027708748545176777,0.0730582821268134
cvoi,good,2044,0.09627140890337706,29.858771730073,10.555555555555555,1.7192426398762888,718,12916,1657.9199999999998,0.0,718,1.65,4.0,0.9761722624166183,0.3084504278140802,0.021071436534028036,0.023717073907442536,0.03184669735795744
periodic_all,good,2045,0.1838099083329651,61.253008653838336,10.0,1.8133080296116852,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3076111891547063,0.021381311532289345,0.028903669768518287,0.37734346287634646
round_robin,good,2045,0.09773190449619389,29.927532021532407,10.833333333333334,2.48194351958398,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31360263221381723,0.0220302186262061,0.023975689530093887,0.03131907761465837
