policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture,rmse_light,rmse_ventilation
periodic_all,good,2026,0.22784069685273564,67.1165675135275,28.88888888888889,18.011149088282327,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.34375160529755033,0.03862180074316577,0.04200976998973483,0.2781709197318621,0.37584177810981606,0.28864830724428475
round_robin,good,2026,0.18799744577262167,51.97767570518646,41.666666666666664,43.26720644347018,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.49957670542125837,0.021610139943331014,0.04401619325159152,0.0363872414175494,0.3757695878114335,0.15062480679056614
error_trigger,good,2026,0.21333694680531654,58.33734722548701,27.5,20.759149408524152,360,6450,882.0,0.0,1800,73.61898148148148,360.0,0.48673299517736945,0.3151637238609124,0.03862180074316577,0.04200976998973483,0.24079346232425364,0.37708798615532685,0.2663449377585057
aoi,good,2026,0.19853666272579631,54.85608078550569,47.77777777777778,55.553939518643865,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5623837029380181,0.021467147459852096,0.04354643801604991,0.03640548759326224,0.37592566287502593,0.1514915374725696
risk,good,2026,0.2109336971755121,59.443114511222355,26.666666666666668,18.118531909140213,283,5072,716.64,0.0,345,101.63796296296296,360.0,0.6244673705766384,0.3210269551558287,0.03862180074316577,0.04200976998973483,0.19945357181024265,0.37584177810981606,0.28864830724428475
cvoi,good,2026,0.18618806707866606,50.14124750405907,27.77777777777778,18.292152769657058,360,6472,884.64,0.0,1768,12.087962962962962,75.0,0.8739644464054837,0.3229005612538475,0.038110042510576335,0.04762697659988296,0.06769637592951441,0.37704132865559453,0.2637531175225807
periodic_all,good,2027,0.24877697756808761,73.69776361046756,33.333333333333336,20.492430565828027,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.3436277438702862,0.04482779534757243,0.039641216872980875,0.35978508346242516,0.3810939102360508,0.32368611561921007
round_robin,good,2027,0.18860603441626814,52.20381510878508,45.0,43.347494708765026,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.49697414567789555,0.02197336382679994,0.03806672615762914,0.03715511868238306,0.38089806705807344,0.15656878509482772
error_trigger,good,2027,0.21917674922121946,59.85094853997477,31.666666666666668,21.272343785855597,360,6440,880.8,0.0,1800,63.40833333333334,360.0,0.5280994715389102,0.3156298337087147,0.04482779534757243,0.04808032567341013,0.24792831471347476,0.3810939102360508,0.27750031564809396
aoi,good,2027,0.20122750559468786,55.505847243298255,52.22222222222222,56.99816464405806,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5657580136507296,0.02251674810642182,0.038477875755298256,0.03697051697526769,0.38084265461675293,0.16279922446365702
risk,good,2027,0.20240258693080374,56.79954929407969,31.944444444444443,18.05846844816387,286,5110,721.1999999999999,0.0,311,75.05972222222222,360.0,0.5013196341890203,0.31148672924274956,0.04482779534757243,0.039641216872980875,0.212091292003144,0.3810939102360508,0.22527457788232488
