plant,controller_family,contrast,network,n_pairs,transmission_reduction_pct_mean,transmission_reduction_ci95_low,transmission_reduction_ci95_high,nrmse_difference_mean,nrmse_difference_ci95_low,nrmse_difference_ci95_high,violation_difference_pp_mean,violation_difference_pp_ci95_low,violation_difference_pp_ci95_high,tradeoff_gate,failure_reason,interval_scope
greenhouse,MPC,ET-MPC_minus_TT-MPC,N0_ideal,50,73.97916666666667,73.82293707879788,74.13539625453546,-0.0004645389825252233,-0.0008176158104072676,-0.00011146215464317907,-0.017361111111111,-0.040200968846363,0.005478746624140999,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,PI,ET-PI_minus_TT-PI,N0_ideal,50,73.72222222222221,73.61590379719944,73.82854064724499,-0.00038324931223552737,-0.0004509773205279491,-0.00031552130394310563,-0.20486111111111158,-0.2765277453741877,-0.13319447684803545,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,MPC,ET-MPC_minus_TT-MPC,N1_nominal,50,73.47916666666667,73.2901502922249,73.66818304110845,0.00023713816261612176,-0.00012870336024326098,0.0006029796854755045,-0.017361111111111285,-0.04228143895249592,0.007559216730273349,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,PI,ET-PI_minus_TT-PI,N1_nominal,50,73.35416666666667,73.18759445297424,73.5207388803591,-0.0003914763988940106,-0.00046677653903309286,-0.0003161762587549284,-0.10416666666666785,-0.1519721441998676,-0.05636118913346811,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,MPC,ET-MPC_minus_TT-MPC,N2_iid_loss,50,71.2361111111111,70.92319434297447,71.54902787924773,-0.00028033778010962075,-0.0006622019009153981,0.00010152634069615657,0.003472222222222143,-0.03575968772525817,0.04270413216970245,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,PI,ET-PI_minus_TT-PI,N2_iid_loss,50,71.15972222222223,70.86780060466155,71.4516438397829,-0.0002839193567395348,-0.0003691656360576814,-0.00019867307742138824,-0.14236111111111144,-0.20594653746563593,-0.07877568475658694,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,MPC,ET-MPC_minus_TT-MPC,N3_burst_loss,50,68.34027777777779,67.89329183900591,68.78726371654966,0.00023169768383109467,-0.0004197720349519847,0.000883167402614174,0.0034722222222222853,-0.02192206872923777,0.028866513173682343,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,PI,ET-PI_minus_TT-PI,N3_burst_loss,50,68.24305555555554,67.84472424587521,68.64138686523587,-0.00025753894603634196,-0.0003493277560525948,-0.00016575013602008912,-0.13194444444444542,-0.2062454790740753,-0.05764340981481551,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,MPC,ET-MPC_minus_TT-MPC,N4_contention_duty,50,67.05555555555554,66.65008903230421,67.46102207880688,-0.00027176233052546127,-0.0009951550292356347,0.0004516303681847121,2.842170943040401e-16,-0.053680028989470864,0.05368002898947143,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,PI,ET-PI_minus_TT-PI,N4_contention_duty,50,66.90277777777779,66.44017056885794,67.36538498669763,-0.00014127050587496635,-0.0002385468536195091,-4.3994158130423604e-05,-0.11458333333333413,-0.15641386848937708,-0.07275279817729119,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,MPC,ET-MPC_minus_TT-MPC,N5_full_stress,50,35.09722222222222,34.19218617770551,36.002258266738934,0.00015261263174242145,-0.0015790743227073558,0.0018842995861921988,-0.048611111111111424,-0.18817918648373622,0.09095696426151338,pass,,unadjusted paired 95% t-CI; not simultaneous
