network,policy,rmse_total_mean,rmse_total_std,iae_total_mean,iae_total_std,violation_pct_mean,violation_pct_std,violation_mag_mean,violation_mag_std,transmissions_mean,transmissions_std,bytes_sent_mean,bytes_sent_std,energy_mj_mean,energy_mj_std,channel_loss_pct_mean,channel_loss_pct_std,congestion_drops_mean,congestion_drops_std,avg_aoi_mean,avg_aoi_std,max_aoi_mean,max_aoi_std,fairness_mean,fairness_std
bernoulli,aoi,0.09762064044277242,0.000900404412940465,30.009301196126422,0.22560413218152373,11.555555555555555,0.43595696981716364,2.3567116885390216,0.15474777016680044,720.0,0.0,12966.8,15.41564482151671,1664.016,1.8498773785820097,15.20138888888889,1.4380728510810035,718.0,0.0,1.7573958333333333,0.029315336599769128,5.8,0.8944271909999159,0.9987882791867003,0.0004507647301098606
bernoulli,cvoi,0.09703946050219811,0.0008782211107775877,29.956273047781217,0.2165994197771361,10.86111111111111,0.5902885275938934,1.9714034606971285,0.15488160641359874,718.5,0.688247201611698,12920.0,18.42195486512351,1658.4,2.2106345838147727,15.205132718763682,1.444349330613112,718.0,0.0,1.9308333333333334,0.031550617097709274,6.75,0.8506963092234007,0.9760219922042463,0.0038582758169781214
bernoulli,error_trigger,0.0973660155855133,0.001135316303653737,30.193007444167215,0.3321960787351528,10.791666666666668,0.4253481546116999,1.9794860296889893,0.1714559434181529,720.0,0.0,12853.1,56.89315933350286,1650.372,6.827179120020373,15.20138888888889,1.4380728510810035,720.0,0.0,4.239340277777778,0.4138885378030419,33.65,10.090511436623597,0.7855947862604774,0.05771612489253462
bernoulli,periodic_all,0.14544169192290912,0.03504691216091969,47.170916259655165,12.666500355992747,16.76388888888889,17.883747354181676,3.340667479051649,4.824747559206323,720.0,0.0,12960.0,0.0,1663.2,0.0,15.20138888888889,1.4380728510810035,720.0,0.0,90.8401388888889,0.00980437305461987,360.0,0.0,0.5065386462075153,0.00010861965018467898
bernoulli,risk,0.13029815155460583,0.016481950981222453,39.6921944174446,5.44647844731466,10.36111111111111,0.4515153893818053,1.9424331093155298,0.18837529169824535,211.65,12.708368564805921,3785.4,214.55079143471636,562.2479999999999,25.746094972165963,14.90282035027779,2.1382701820421857,0.05,0.22360679774997894,101.28322916666667,25.608602627097383,358.4,6.699567935793755,0.6062721147878232,0.12476366550260766
bernoulli,round_robin,0.09894948613248127,0.0011913573006467866,30.195537102411397,0.2667330610054312,11.88888888888889,0.7073364731793479,2.87494169615266,0.5198758975124823,720.0,0.0,12960.0,0.0,1663.2,0.0,15.20138888888889,1.4380728510810035,720.0,0.0,2.0410763888888885,0.03883159090850365,8.3,1.2182817926554554,0.9991559643983428,0.000791797981264795
burst,aoi,0.09797528997119168,0.0009464656286536187,30.06163378878019,0.23750577777165838,11.76388888888889,0.4530866631964262,2.557080870348727,0.32450688596635224,720.0,0.0,12968.7,14.614700601935505,1664.244,1.7537640722322063,13.208333333333334,2.275003659430541,718.0,0.0,1.7597569444444445,0.06326909630579666,7.5,1.7013926184468013,0.999275129070322,0.0005260270750877597
burst,cvoi,0.09712371754234997,0.000927149233941126,29.956748681935146,0.23699205352010455,10.652777777777777,0.5119986573041199,2.027423246224997,0.22442062250511294,718.5,0.688247201611698,12922.1,13.384594443652535,1658.652,1.6061513332382695,13.186660492774923,2.2745250741478906,718.0,0.0,1.9229861111111108,0.06430819213267956,8.25,1.8027756377319943,0.9773775271336221,0.0029128311290286344
burst,error_trigger,0.09746449671072806,0.0011033578408945963,30.13054227044566,0.30452709986226834,10.86111111111111,0.5971287156500946,2.0897263527366023,0.3180441866208146,720.0,0.0,12856.0,59.07354916141693,1650.72,7.088825899370015,13.208333333333334,2.275003659430541,720.0,0.0,4.219965277777778,0.5199820467450929,33.5,10.364412797239359,0.7969221987340182,0.047364138113875416
burst,periodic_all,0.14555445548862098,0.03506152416999327,47.162627324351334,12.672438799098224,16.791666666666664,17.83877396922631,3.45065928750331,4.823248682911454,720.0,0.0,12960.0,0.0,1663.2,0.0,13.208333333333334,2.275003659430541,720.0,0.0,90.84333333333333,0.025106781376456673,360.0,0.0,0.5065740362643714,0.00027814492257470904
burst,risk,0.13073848942811697,0.016227915697461688,39.72735930631863,5.357605332778542,10.458333333333332,0.6130683701763789,1.9792998620138686,0.23849500678117821,208.4,13.895853224689201,3727.2,234.78671171938166,555.2639999999999,28.17440540632579,13.301137477632754,2.800342340724986,0.0,0.0,100.7279513888889,25.20848620214773,358.4,6.699567935793755,0.6046932162667028,0.12003883095535949
burst,round_robin,0.09952545196421772,0.0013817982578170262,30.297810589488403,0.31946383932106553,12.152777777777777,0.8731938566956481,3.165948835167025,0.5535328777074173,720.0,0.0,12960.0,0.0,1663.2,0.0,13.208333333333334,2.275003659430541,720.0,0.0,2.068090277777778,0.08083658474751382,10.25,2.197486602557807,0.9980434439266694,0.002200235925224984
congested,aoi,0.09830592368987015,0.0011465841382953623,30.093623908462753,0.2789764949845441,12.055555555555555,0.5656969112975536,2.6639473934901217,0.3081743661876837,720.0,0.0,12966.5,14.950796493480734,1663.98,1.7940955792176116,25.36111111111111,1.4680648572019108,718.0,0.0,1.9868055555555557,0.04080057463857844,7.1,0.9119095061289912,0.9983220506276214,0.0006393650690094979
congested,cvoi,0.09758899974084072,0.0009296920038464095,30.040307857348374,0.24323076489006037,11.208333333333332,0.6130683701763787,2.160792394538343,0.16619819417511555,718.5,0.688247201611698,12918.4,22.521101216414756,1658.2079999999999,2.7025321459697476,25.358194574120922,1.477464491864794,718.0,0.0,2.181111111111111,0.042903546983084205,8.55,1.099042645597569,0.9767359357359657,0.004823661958367234
congested,error_trigger,0.09786773099031519,0.0011221657779237678,30.24865891475261,0.33963308199124803,11.180555555555555,0.4758204842200249,2.1982170683629527,0.224122708168192,720.0,0.0,12851.2,58.26400893211955,1650.1439999999998,6.9916810718543925,25.36111111111111,1.4680648572019108,720.0,0.0,4.562395833333333,0.2586718129139994,33.85,6.310183915911769,0.8023655667595284,0.032684103193724265
congested,periodic_all,0.14579368502429518,0.035040680530830835,47.18925082628112,12.66183636482306,17.125,17.781266790303953,3.5601736996309072,4.833367497845957,720.0,0.0,12960.0,0.0,1663.2,0.0,25.36111111111111,1.4680648572019108,720.0,0.0,90.92458333333333,0.014687217017861364,360.0,0.0,0.507474176282128,0.00016271297429665165
congested,risk,0.1303992097770542,0.016388716846722294,39.5876211004107,5.350130833201763,10.666666666666668,0.48866289300697824,2.1296663729353935,0.26515406023966415,213.2,16.984822946569558,3808.4,290.48025569282396,565.008,34.857630683138886,24.96725825250966,2.927186232851272,0.15,0.6708203932499369,101.08753472222222,25.837555416349662,358.4,6.699567935793755,0.6044881000520449,0.12798207055820385
congested,round_robin,0.10016849996103024,0.0012201952691839625,30.333774456759365,0.2873649146710024,12.722222222222223,0.762591934614733,3.5459429994153453,0.6928353381933348,720.0,0.0,12960.0,0.0,1663.2,0.0,25.36111111111111,1.4680648572019108,720.0,0.0,2.3296180555555557,0.060510604107630796,11.25,1.7434086394791457,0.9979648518688725,0.0015903265610452727
good,aoi,0.09711289985160891,0.0009285666403943293,29.925939313937295,0.23071111251733972,11.444444444444445,0.293419267936891,2.1591084777259173,0.11940823870990652,720.0,0.0,12960.0,0.0,1663.2,0.0,0.0,0.0,718.0,0.0,1.4986111111111111,0.0,2.0,0.0,0.9999991410442162,0.0
good,cvoi,0.09662234301564133,0.0009089327285958899,29.919364838739398,0.22530973704694812,10.416666666666668,0.38763373051353367,1.797127263551543,0.11075919396910534,718.5,0.688247201611698,12924.2,12.779918457857246,1658.904,1.5335902149428458,0.0,0.0,718.0,0.0,1.6460416666666666,0.0027139973013116073,4.0,0.0,0.9772925273944016,0.0006177015729989215
good,error_trigger,0.096704237054632,0.0010273379483926547,30.056073863172863,0.2956534539394912,10.416666666666668,0.38763373051353367,1.7968005783623298,0.11090655681913342,720.0,0.0,12854.8,63.43633360348494,1650.5759999999998,7.6123600324181835,0.0,0.0,720.0,0.0,3.8403125000000005,0.29221487353663766,31.4,5.364601324275743,0.7945642415678651,0.03450762532539479
good,periodic_all,0.14510975964456096,0.03502158062442537,47.15670925325651,12.663364375064962,16.444444444444446,17.904246794583443,3.157692202155422,4.8059799251489626,720.0,0.0,12960.0,0.0,1663.2,0.0,0.0,0.0,720.0,0.0,90.75,0.0,360.0,0.0,0.5055399961634356,0.0
good,risk,0.1303334192476256,0.01602804269072322,39.67633809711778,5.323363964679573,10.180555555555555,0.3745801201435515,1.7710515045131827,0.11044963571216677,207.95,10.74819446281683,3724.1,183.27370960282047,554.892,21.99284515233844,0.0,0.0,0.05,0.22360679774997894,100.5332986111111,25.399614989516074,358.4,6.699567935793755,0.6023882919093437,0.12232897804276423
