plant,setting_id,n_runs,n_seeds,n_networks,nrmse_mean,violation_pct_mean,transmissions_mean,total_modeled_energy_mj_mean,nrmse_sd,violation_pct_sd,transmissions_sd,total_modeled_energy_mj_sd,analysis_scope
greenhouse,buffer_no_buffer,90,15,6,0.4714913818200335,44.67592592592593,106.36666666666666,1106.6797579674947,0.1054054051439446,1.8658600692523002,44.92426835954537,295.6634205152404,exploratory_sensitivity_only
greenhouse,forecast_noisy_persistence,90,15,6,0.39840587791923865,43.06712962962963,102.23333333333333,1215.990376853906,0.0056813777501979815,0.5184219040838566,40.32063903987967,432.3221111630001,exploratory_sensitivity_only
greenhouse,forecast_oracle,90,15,6,0.402435026897904,40.003858024691354,106.18888888888888,1224.3195024005402,0.004304390605447695,0.8221630346189905,40.22545855059321,444.3087013439694,exploratory_sensitivity_only
greenhouse,forecast_persistence,90,15,6,0.39799302694881794,43.051697530864196,101.56666666666666,1213.1428868556684,0.005093746758506318,0.7452441102678836,40.1819038033096,432.89720471578676,exploratory_sensitivity_only
greenhouse,model_0.98,90,15,6,0.4237250203182431,43.30054012345679,105.21111111111111,1180.8872732592026,0.005297257027177094,0.5677443599076515,41.01369857330198,448.1125149795424,exploratory_sensitivity_only
greenhouse,model_1.0,90,15,6,0.39799302694881794,43.051697530864196,101.56666666666666,1213.1428868556684,0.005093746758506318,0.7452441102678836,40.1819038033096,432.89720471578676,exploratory_sensitivity_only
greenhouse,model_1.02,90,15,6,0.3785519679711237,38.04398148148148,99.26666666666667,1247.9312536965908,0.0033540874597415404,0.8549652818894072,40.32251998545634,430.5437441481764,exploratory_sensitivity_only
greenhouse,trigger_0.02,90,15,6,0.39800463486046905,43.05555555555556,147.9111111111111,1399.2796558228272,0.004988803799626822,0.7461625017277451,37.934196260663974,491.3711350280046,exploratory_sensitivity_only
greenhouse,trigger_0.035,90,15,6,0.39799302694881794,43.051697530864196,101.56666666666666,1213.1428868556684,0.005093746758506318,0.7452441102678836,40.1819038033096,432.89720471578676,exploratory_sensitivity_only
greenhouse,trigger_0.07,90,15,6,0.3977318644347655,43.02276234567901,59.56666666666667,1032.4877168431315,0.0049779341235904944,0.671583792850127,32.900957945139915,314.3586946062953,exploratory_sensitivity_only
irrigation,buffer_no_buffer,90,15,6,0.4076635068440727,24.68419312169312,290.6333333333333,1981.5859096796326,0.10523539813282355,13.51329216616551,12.013522343639433,551.0268451845689,exploratory_sensitivity_only
irrigation,forecast_noisy_persistence,90,15,6,0.3977379162919569,23.171296296296294,290.68888888888887,2004.9383274572367,0.1048043445488113,12.742327794040667,12.009026983425374,590.1962351942838,exploratory_sensitivity_only
irrigation,forecast_oracle,90,15,6,0.3976219826015446,23.134920634920633,290.5888888888889,2004.8502207052416,0.10481967478185725,12.731602406589923,11.999901164803136,590.6189293136355,exploratory_sensitivity_only
irrigation,forecast_persistence,90,15,6,0.3976113300517638,23.12334656084656,290.64444444444445,2005.0443407905664,0.1046744549977946,12.704359702691674,12.062860740241177,590.8469380768627,exploratory_sensitivity_only
irrigation,model_0.98,90,15,6,0.3976106169541112,23.12334656084656,290.6,2005.0237584829954,0.10471470647668557,12.708667623590598,11.982008985384882,590.751325445023,exploratory_sensitivity_only
irrigation,model_1.0,90,15,6,0.3976113300517638,23.12334656084656,290.64444444444445,2005.0443407905664,0.1046744549977946,12.704359702691674,12.062860740241177,590.8469380768627,exploratory_sensitivity_only
irrigation,model_1.02,90,15,6,0.39760400656522576,23.120039682539684,290.64444444444445,2004.8411630127896,0.1046877693957449,12.71071837704259,12.078685015777284,590.5730420474365,exploratory_sensitivity_only
irrigation,trigger_0.02,90,15,6,0.3976410920445979,23.129960317460316,319.5777777777778,2111.510957814676,0.10473461891341275,12.720122633990346,5.068026626079068,595.335817364486,exploratory_sensitivity_only
irrigation,trigger_0.035,90,15,6,0.3976113300517638,23.12334656084656,290.64444444444445,2005.0443407905664,0.1046744549977946,12.704359702691674,12.062860740241177,590.8469380768627,exploratory_sensitivity_only
irrigation,trigger_0.07,90,15,6,0.39780766057443645,23.14814814814815,205.54444444444445,1686.6921298812192,0.1048785387313912,12.73994274380439,29.657278740170312,566.3692659198998,exploratory_sensitivity_only
