plant,network,policy,n_completed,nrmse_mean,nrmse_sd,nrmse_ci_low,nrmse_ci_high,violation_pct_mean,violation_pct_sd,violation_pct_ci_low,violation_pct_ci_high,transmissions_mean,transmissions_sd,transmissions_ci_low,transmissions_ci_high,total_modeled_energy_mj_mean,total_modeled_energy_mj_sd,total_modeled_energy_mj_ci_low,total_modeled_energy_mj_ci_high,command_applied_pct_mean,command_applied_pct_sd,command_applied_pct_ci_low,command_applied_pct_ci_high,deadline_miss_pct_mean,deadline_miss_pct_sd,deadline_miss_pct_ci_low,deadline_miss_pct_ci_high
greenhouse,N0_ideal,ET-MPC,50,0.3968716877129285,0.0016858601973152537,0.3963925715460461,0.3973508038798109,43.24652777777777,0.16912427699635274,43.19846319006742,43.29459236548812,74.94,1.5832026440872622,74.49005878693788,75.38994121306212,930.3603355393852,4.766835611041578,929.0056158480621,931.7150552307083,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
greenhouse,N0_ideal,ET-PI,50,0.5021113731405706,0.0006004641620487463,0.5019407231138785,0.5022820231672628,36.885416666666664,0.376477965336253,36.77842281275467,36.99241052057866,75.68,1.0774118648551316,75.37380293593439,75.98619706406562,2415.1630160933205,5.24645171632769,2413.67199101303,2416.654041173611,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
greenhouse,N0_ideal,TT-MPC,50,0.39733622669545376,0.0011660850200914865,0.39700482899950307,0.39766762439140446,43.263888888888886,0.15685901092105053,43.21931005122895,43.30846772654882,288.0,0.0,288.0,288.0,1484.4022118405974,1.4936928624542944,1483.9777090260116,1484.8267146551832,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
greenhouse,N0_ideal,TT-PI,50,0.5024946224528063,0.0005223743752972132,0.5023461652979553,0.5026430796076573,37.090277777777786,0.3171501460941626,37.00014470353781,37.18041085201776,288.0,0.0,288.0,288.0,2990.232593727596,2.721399027580173,2989.4591806814087,2991.006006773783,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
greenhouse,N1_nominal,ET-MPC,50,0.39763532949033403,0.0014333767463428487,0.3972279683262827,0.39804269065438536,43.19791666666666,0.1344328396117832,43.15971127637363,43.23612205695969,76.38,1.915458063189256,75.83563284160766,76.92436715839233,955.6228799993602,7.940110823445694,953.3663254710493,957.879434527671,97.82332943184481,1.7193192061487799,97.33470431986392,98.3119545438257,0.0,0.0,0.0,0.0
greenhouse,N1_nominal,ET-PI,50,0.5020262521539613,0.0005961887073511852,0.5018568171980501,0.5021956871098726,36.85069444444445,0.33239679114526566,36.75622832162409,36.94516056726481,76.74,1.6880129605847345,76.26027202456578,77.21972797543421,2440.489317209873,9.793999741585058,2437.705893280589,2443.2727411391575,97.90593800772571,1.654693546045964,97.43567930513036,98.37619671032105,0.0,0.0,0.0,0.0
greenhouse,N1_nominal,TT-MPC,50,0.39739819132771786,0.0012414485057039763,0.39704537556613695,0.3977510070892988,43.21527777777779,0.11548062228990912,43.18245854805231,43.248097007503276,288.0,0.0,288.0,288.0,1572.5327839974534,9.902270981231135,1569.718589722321,1575.3469782725858,97.71527777777779,0.8123116193423674,97.48442136987804,97.94613418567754,0.0,0.0,0.0,0.0
greenhouse,N1_nominal,TT-PI,50,0.5024177285528553,0.000491366346013742,0.5022780837824218,0.5025573733232888,36.954861111111114,0.2892549913465574,36.87265575213398,37.03706647008825,288.0,0.0,288.0,288.0,3078.475456264935,10.149098189097762,3075.591114473476,3081.359798056394,97.71527777777779,0.8123116193423674,97.48442136987804,97.94613418567754,0.0,0.0,0.0,0.0
greenhouse,N2_iid_loss,ET-MPC,50,0.39730559544647087,0.0015213943630893088,0.39687321995251196,0.3977379709404298,43.22569444444444,0.1770840280543049,43.175367720512895,43.27602116837599,82.84,3.171042447537029,81.93879970776649,83.74120029223351,1006.8568959992065,17.246254639137383,1001.955564661685,1011.7582273367279,86.78342813648507,4.175584441017447,85.59674016849102,87.97011610447912,0.0,0.0,0.0,0.0
greenhouse,N2_iid_loss,ET-PI,50,0.502054161855651,0.000567016599291869,0.5018930175211184,0.5022153061901836,36.81944444444444,0.37093093444126946,36.71402703927014,36.92486184961874,83.06,2.9582813543387947,82.21926574142526,83.90073425857474,2492.1228602932597,17.164274277349527,2487.244827516771,2497.0008930697486,87.15119493638163,3.559875165950828,86.13948960826106,88.1629002645022,0.0,0.0,0.0,0.0
