plant,policy,network,seed,forecast,trigger_delta,model_scale,fallback,random_tape_sha256,config_sha256,preregistration_sha256,nrmse,violation_pct,transmissions,command_applied_pct,deadline_miss_pct,tx_energy_mj,rx_energy_mj,listen_energy_mj,retry_energy_mj,compute_energy_mj,baseline_energy_mj,actuation_energy_mj,total_modeled_energy_mj,status
greenhouse,TT-PI,N0_ideal,2028,persistence,0.035,1.0,hold,fbd194eca91ed9cc750fbc0294843522e4927131db41b8b7cc7e3cf6d6c4f674,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.5032474720471254,36.97916666666667,288,100.0,0.0,345.60221184059776,230.4000000000011,172.79999999999907,0.0,0.2880000000000002,86.39999999999954,2158.5327015599264,2994.022913400524,completed
greenhouse,ET-PI,N0_ideal,2028,persistence,0.035,1.0,hold,fbd194eca91ed9cc750fbc0294843522e4927131db41b8b7cc7e3cf6d6c4f674,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.5031214962513028,36.97916666666667,75,100.0,0.0,90.00057599969195,59.999999999999915,45.000000000000064,0.0,0.07500000000000005,86.39999999999954,2135.6095033703964,2417.085079370088,completed
greenhouse,TT-MPC,N0_ideal,2029,persistence,0.035,1.0,hold,4f5ec0020197f485916c8975041348decd66e067ef9cecc012ce4642b378da30,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3999264360947207,43.40277777777778,288,100.0,0.0,345.60221184059776,230.4000000000011,172.79999999999907,0.0,1.1520000000000008,86.39999999999954,645.5999999999998,1481.9542118405973,completed
greenhouse,ET-MPC,N0_ideal,2029,persistence,0.035,1.0,hold,4f5ec0020197f485916c8975041348decd66e067ef9cecc012ce4642b378da30,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3983653495798909,43.40277777777778,75,100.0,0.0,90.00057600018307,59.999999999999915,45.000000000000064,0.0,0.3000000000000002,86.39999999999954,647.9999999999998,929.7005760001823,completed
greenhouse,TT-PI,N0_ideal,2029,persistence,0.035,1.0,hold,4f5ec0020197f485916c8975041348decd66e067ef9cecc012ce4642b378da30,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.5027963204213786,36.80555555555556,288,100.0,0.0,345.60221184059776,230.4000000000011,172.79999999999907,0.0,0.2880000000000002,86.39999999999954,2156.350023668561,2991.8402355091584,completed
greenhouse,ET-PI,N0_ideal,2029,persistence,0.035,1.0,hold,4f5ec0020197f485916c8975041348decd66e067ef9cecc012ce4642b378da30,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.5025124556872451,36.28472222222222,76,100.0,0.0,91.20058367961073,60.79999999999991,45.600000000000065,0.0,0.07600000000000005,86.39999999999954,2133.165744579066,2417.2423282586765,completed
greenhouse,TT-MPC,N0_ideal,2030,persistence,0.035,1.0,hold,defb79333b79935e93b95595071e865bff5aaccd62fd3b08c2222714e1ae4f47,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39855742255735466,43.22916666666667,288,100.0,0.0,345.60221184059776,230.4000000000011,172.79999999999907,0.0,1.1520000000000008,86.39999999999954,647.9999999999998,1484.3542118405971,completed
greenhouse,ET-MPC,N0_ideal,2030,persistence,0.035,1.0,hold,defb79333b79935e93b95595071e865bff5aaccd62fd3b08c2222714e1ae4f47,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3998092050239386,43.22916666666667,76,100.0,0.0,91.20058368027466,60.79999999999991,45.600000000000065,0.0,0.3040000000000002,86.39999999999954,645.5999999999998,929.9045836802741,completed
greenhouse,TT-PI,N0_ideal,2030,persistence,0.035,1.0,hold,defb79333b79935e93b95595071e865bff5aaccd62fd3b08c2222714e1ae4f47,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.5030556911126798,36.80555555555556,288,100.0,0.0,345.60221184059776,230.4000000000011,172.79999999999907,0.0,0.2880000000000002,86.39999999999954,2157.056454251664,2992.5466660922616,completed
greenhouse,ET-PI,N0_ideal,2030,persistence,0.035,1.0,hold,defb79333b79935e93b95595071e865bff5aaccd62fd3b08c2222714e1ae4f47,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.5027338804940029,36.28472222222222,76,100.0,0.0,91.20058367975625,60.79999999999991,45.600000000000065,0.0,0.07600000000000005,86.39999999999954,2132.6212913039562,2416.697874983712,completed
