plant,network,contrast,metric,n_pairs,mean_difference,sd_difference,ci95_low,ci95_high,p_value,cohen_dz,probability_A_better,better_direction,crn_gate,holm_family,p_value_holm
greenhouse,N2_iid_loss,ET-MPC_minus_TT-MPC,violation_pct,50,0.003472222222222143,0.13804484176662463,-0.03575968772525817,0.04270413216970245,0.8595680887717461,0.025152857417825147,0.1,lower,True,network_metric:N2_iid_loss:violation_pct,1.0
greenhouse,N2_iid_loss,ET-MPC_minus_TT-MPC,transmissions,50,-205.16,3.171042447537029,-206.0612002922335,-204.25879970776649,1.2693522028755446e-90,-64.69796711783194,1.0,lower,True,network_metric:N2_iid_loss:transmissions,3.808056608626634e-90
greenhouse,N2_iid_loss,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-678.1228639978757,20.74901622218103,-684.0196691628495,-672.2260588329019,4.2546682106633025e-76,-32.68216944536154,1.0,lower,True,network_metric:N2_iid_loss:total_modeled_energy_mj,1.2764004631989908e-75
greenhouse,N2_iid_loss,ET-MPC_minus_TT-MPC,command_applied_pct,50,-0.015182974626038969,3.6582230516848306,-1.0548384626168608,1.0244725133647827,0.9767066204220558,-0.004150368747757548,0.54,higher,True,network_metric:N2_iid_loss:command_applied_pct,0.9767066204220558
greenhouse,N2_iid_loss,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N2_iid_loss:deadline_miss_pct,1.0
greenhouse,N2_iid_loss,ET-PI_minus_TT-PI,nrmse,50,-0.0002839193567395348,0.00029995504056316846,-0.0003691656360576814,-0.00019867307742138824,1.9833865577680143e-08,-0.9465397087725997,0.86,lower,True,network_metric:N2_iid_loss:nrmse,7.933546231072057e-08
greenhouse,N2_iid_loss,ET-PI_minus_TT-PI,violation_pct,50,-0.14236111111111144,0.22373726212984046,-0.20594653746563593,-0.07877568475658694,4.203333195066797e-05,-0.6362869991163816,0.58,lower,True,network_metric:N2_iid_loss:violation_pct,0.00016813332780267189
greenhouse,N2_iid_loss,ET-PI_minus_TT-PI,transmissions,50,-204.94,2.9582813543387947,-205.78073425857474,-204.09926574142526,4.454098566773161e-92,-69.2767101747853,1.0,lower,True,network_metric:N2_iid_loss:transmissions,1.7816394267092645e-91
greenhouse,N2_iid_loss,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-697.9107071001292,18.982575607730546,-703.3054953970562,-692.5159188032022,1.3344849729750639e-78,-36.76585946618904,1.0,lower,True,network_metric:N2_iid_loss:total_modeled_energy_mj,5.337939891900255e-78
greenhouse,N2_iid_loss,ET-PI_minus_TT-PI,command_applied_pct,50,0.352583825270533,3.2894031894486,-0.5822542176283836,1.2874218681694496,0.452121586197502,0.10718777996005906,0.52,higher,True,network_metric:N2_iid_loss:command_applied_pct,0.904243172395004
