plant,policy,network,seed,forecast,trigger_delta,model_scale,fallback,random_tape_sha256,config_sha256,preregistration_sha256,nrmse,violation_pct,transmissions,command_applied_pct,deadline_miss_pct,tx_energy_mj,rx_energy_mj,listen_energy_mj,retry_energy_mj,compute_energy_mj,baseline_energy_mj,actuation_energy_mj,total_modeled_energy_mj,status,setting_id
greenhouse,ET-MPC,N0_ideal,2036,persistence,0.02,1.0,hold,bb8839cdd1ec91e063f696cba75304f9e97656f7ccdbddb1d1037f9e397180d3,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3965795771143156,43.22916666666667,115,100.0,0.0,138.00088320001748,91.9999999999998,69.00000000000006,0.0,0.46000000000000035,86.39999999999954,650.3999999999997,1036.2608832000167,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2037,persistence,0.02,1.0,hold,a98ffacd0048a0491986d921fec59d993bc37a3b3b672e8e4d1ce656b5b64851,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39743789562462895,43.22916666666667,123,100.0,0.0,147.60094464046813,98.39999999999978,73.80000000000001,0.0,0.4920000000000004,86.39999999999954,647.9999999999998,1054.6929446404672,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2038,persistence,0.02,1.0,hold,e33608b143fa1a22683a8746bc1beb4c0f8ef13be52642e76c1d85176e603660,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3972399474088267,43.40277777777778,124,100.0,0.0,148.8009523203869,99.19999999999978,74.4,0.0,0.4960000000000004,86.39999999999954,645.5999999999998,1054.896952320386,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2039,persistence,0.02,1.0,hold,208333e53050291c6bb1667850435ff6b51648c179582754769d781c876837a2,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39939540116874583,43.40277777777778,122,100.0,0.0,146.4009369604766,97.59999999999978,73.20000000000002,0.0,0.4880000000000004,86.39999999999954,647.9999999999998,1052.0889369604756,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2040,persistence,0.02,1.0,hold,62bf66db5acc0cb110c6d48808073129454e81bd44dd6768273f5e705b910d3b,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39804737914535354,43.40277777777778,120,100.0,0.0,144.00092160042078,95.99999999999979,72.00000000000003,0.0,0.48000000000000037,86.39999999999954,647.9999999999998,1046.88092160042,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2026,persistence,0.035,1.0,hold,2564ec262680c54cab5340f94cc6b063c0ce70a9bc3307497488c42d1093c14d,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3961033212190769,43.05555555555556,76,100.0,0.0,91.20058368017462,60.79999999999991,45.600000000000065,0.0,0.3040000000000002,86.39999999999954,647.9999999999998,932.3045836801739,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2027,persistence,0.035,1.0,hold,80d2e7d45ca3b1ca5cb60a994bc7018a037fde04e6c69e7cd6630c7f5def24e0,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39912530866342,43.40277777777778,76,100.0,0.0,91.20058368010186,60.79999999999991,45.600000000000065,0.0,0.3040000000000002,86.39999999999954,645.5999999999998,929.9045836801013,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2028,persistence,0.035,1.0,hold,fbd194eca91ed9cc750fbc0294843522e4927131db41b8b7cc7e3cf6d6c4f674,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3999166831471012,43.40277777777778,74,100.0,0.0,88.80056832011877,59.19999999999992,44.40000000000006,0.0,0.2960000000000002,86.39999999999954,645.5999999999998,924.6965683201181,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2029,persistence,0.035,1.0,hold,4f5ec0020197f485916c8975041348decd66e067ef9cecc012ce4642b378da30,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3983653495798909,43.40277777777778,75,100.0,0.0,90.00057600018307,59.999999999999915,45.000000000000064,0.0,0.3000000000000002,86.39999999999954,647.9999999999998,929.7005760001823,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2030,persistence,0.035,1.0,hold,defb79333b79935e93b95595071e865bff5aaccd62fd3b08c2222714e1ae4f47,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3998092050239386,43.22916666666667,76,100.0,0.0,91.20058368027466,60.79999999999991,45.600000000000065,0.0,0.3040000000000002,86.39999999999954,645.5999999999998,929.9045836802741,completed,trigger_0.035
