network,policy,rmse_total_mean,rmse_total_std,iae_total_mean,iae_total_std,violation_pct_mean,violation_pct_std,violation_mag_mean,violation_mag_std,transmissions_mean,transmissions_std,bytes_sent_mean,bytes_sent_std,energy_mj_mean,energy_mj_std,channel_loss_pct_mean,channel_loss_pct_std,congestion_drops_mean,congestion_drops_std,avg_aoi_mean,avg_aoi_std,max_aoi_mean,max_aoi_std,fairness_mean,fairness_std
bernoulli,aoi,0.19731293859425808,0.01698410279543267,54.93157716146878,4.789184591909629,49.48611111111111,9.26702768660208,52.664276773226824,19.64882757618204,360.0,0.0,6479.3,9.974177185428358,885.516,1.196901262251346,14.98611111111111,1.7252731889032178,1795.0,0.0,4.10037037037037,0.08789850926811718,11.2,1.281446551034375,0.999985746023411,1.281707055926998e-05
bernoulli,cvoi,0.18896948264379615,0.005502408269144386,50.01552525129866,1.2022408470198993,31.125,2.1449939452924176,21.000022990074523,2.3822860238566936,359.55,0.5104177855340395,6466.7,9.319475928342069,884.0039999999999,1.1183371114010563,14.990289384091614,1.7372661856288443,1773.0,3.0949874585239945,12.493796296296296,0.4808895840759858,76.85,2.8520537383288875,0.886266579319609,0.008381393934150733
bernoulli,error_trigger,0.2051176452687354,0.014596950445831265,56.899122517293144,3.97846540113703,30.583333333333332,1.9701723141310317,21.459979022084966,4.035643077218645,360.0,0.0,6441.2,17.00030959470398,880.9440000000001,2.0400371513644973,14.98611111111111,1.7252731889032178,1800.0,0.0,65.68342592592593,13.557530417924864,351.55,26.23070719595642,0.5170122148117587,0.06665979040654263
bernoulli,periodic_all,0.23074633592868507,0.029882954225099904,67.84089739424832,10.79052106268946,37.25,13.166259524388384,24.412942007735346,7.709541690120219,360.0,0.0,6480.0,0.0,885.6,0.0,14.98611111111111,1.7252731889032178,1800.0,0.0,150.61351851851853,0.004928464514635777,360.0,0.0,0.8355087861487485,5.432327097994982e-05
bernoulli,risk,0.21914495041054619,0.017154507990866638,61.171198659737705,5.4860766053077805,30.041666666666668,1.9123818534686756,23.10818853542802,3.3302757330312684,285.45,7.883860929639418,5113.7,133.05364964633824,721.644,15.966437957560593,15.04820445308314,1.9616958086256708,327.8,80.88497355732041,90.40682870370371,16.531710417374942,359.95,0.22360679774997824,0.5992187364121752,0.07408029152021295
bernoulli,round_robin,0.20147912889793532,0.02247096418058403,55.278910138749744,6.1460010469071005,47.91666666666667,8.917853029965654,57.706925080179516,26.55785586651493,360.0,0.0,6480.0,0.0,885.6,0.0,14.98611111111111,1.7252731889032178,1800.0,0.0,4.526018518518518,0.15855145537836948,22.8,5.001052520798944,0.992462785226841,0.004502866958845136
burst,aoi,0.18930525028291395,0.013060569930045254,52.1381440322592,3.648136226305498,44.36111111111111,6.702571442187084,43.457231408461645,14.000123527447892,360.0,0.0,6478.7,9.931873200114579,885.4440000000001,1.191824784013752,12.819444444444446,2.7737909986557243,1795.0,0.0,4.070347222222223,0.1426532960931984,13.75,1.7129537431920892,0.999977835668371,1.9280324855768765e-05
burst,cvoi,0.18954792886499866,0.007455887422428319,50.09937779890832,1.6702937924222616,31.625,2.075325741437575,21.17832750862861,2.324144204067655,359.55,0.5104177855340395,6469.3,8.80848872873265,884.316,1.0570186474479315,12.821030640668525,2.7778274049182943,1772.25,5.729655082849296,12.538101851851852,0.5279803674818992,75.95,2.981963323576919,0.8840288552543629,0.009138923213145739
burst,error_trigger,0.20382629574981878,0.015015886379398906,56.837671854095014,4.363095919317545,30.805555555555554,1.8423489117619838,20.1416685653036,2.4224256630917083,360.0,0.0,6443.7,17.0852352385881,881.244,2.0502282286305804,12.819444444444446,2.7737909986557243,1800.0,0.0,64.43703703703704,13.195166345970835,360.0,0.0,0.5016797337300494,0.07486777173202942
burst,periodic_all,0.23080749045088048,0.029907906542087016,67.83868039628825,10.801840318648816,37.31944444444444,13.121884202706552,24.488319025760777,7.653477031235031,360.0,0.0,6480.0,0.0,885.6,0.0,12.819444444444446,2.7737909986557243,1800.0,0.0,150.61638888888888,0.009229239836073516,360.0,0.0,0.8355404136673685,0.00010171913012200476
