scenario,method,n_seeds,rmse_mean,rmse_sd,rmse_ci95,iae_mean,iae_sd,iae_ci95,tx_energy_mj_mean,tx_energy_mj_sd,tx_energy_mj_ci95,baseline_energy_mj_mean,baseline_energy_mj_sd,baseline_energy_mj_ci95,total_modeled_energy_mj_mean,total_modeled_energy_mj_sd,total_modeled_energy_mj_ci95,tx_rate_pct_mean,tx_rate_pct_sd,tx_rate_pct_ci95,packet_loss_pct_mean,packet_loss_pct_sd,packet_loss_pct_ci95,violation_pct_mean,violation_pct_sd,violation_pct_ci95
Mekong-Synthetic,forecast:persistence:0.05:1.0:0.85,20,1.1541328239735598,0.06725045022914396,0.029473809333047107,207.11661603639828,15.046891830616238,6.594591104735454,1182.0,106.4053817396371,46.634214681362096,900.0,0.0,0.0,2082.0,106.4053817396371,46.634214681362096,19.765886287625413,1.7793542096929276,0.779836365909065,29.888397320755843,5.984655509745476,2.6228909221750696,6.471571906354515,1.40759206084485,0.6169044203970685
Tokyo-Bernoulli,forecast:persistence:0.05:1.0:0.85,20,3.2210805111485454,0.11340294597206185,0.04970103242428419,701.960285845226,37.04738561447859,16.2367326340339,1895.0,164.26871438687218,71.9939383413266,900.0,0.0,0.0,2795.0,164.26871438687218,71.9939383413266,31.688963210702344,2.7469684680078963,1.203912012396766,29.275384399963137,5.276329132622458,2.3124531999924387,47.22408026755853,5.044924542961186,2.211035667005981
Tokyo-Burst,forecast:persistence:0.05:1.0:0.85,20,3.2100285832063933,0.3422816488387327,0.15001154671380718,681.9282643153588,43.99244086725993,19.280537301965268,1732.0,140.13527299306946,61.41699130576677,900.0,0.0,0.0,2632.0,140.13527299306946,61.41699130576677,28.963210702341136,2.343399213930928,1.0270399883907488,17.575239067232022,3.36704028496445,1.4756704681915114,44.61538461538461,5.194185594198576,2.2764522069701174
Mekong-Synthetic,forecast:noisy_persistence:0.05:1.0:0.85,20,1.2101102694264183,0.09498560764250474,0.041629278012261774,224.84050236456284,22.65377336035257,9.928453927401948,1220.0,99.472291830968,43.59565405670132,900.0,0.0,0.0,2120.0,99.472291830968,43.59565405670132,20.40133779264214,1.6634162513539799,0.7290243153294536,31.05957683261218,4.065494465415315,1.7817815094162912,8.143812709030101,2.436692508370754,1.0679275774403703
Tokyo-Bernoulli,forecast:noisy_persistence:0.05:1.0:0.85,20,3.1908312559658776,0.09726771190673748,0.04262945430450881,691.8785857162716,31.362818647390444,13.745361314466356,1901.0,212.00546169727252,92.91549029544053,900.0,0.0,0.0,2801.0,212.00546169727252,92.91549029544053,31.789297658862875,3.5452418344025505,1.5537707407264305,30.323055783194377,4.331460676312949,1.8983463407641812,46.92307692307692,6.185125955084115,2.7107509686534126
Tokyo-Burst,forecast:noisy_persistence:0.05:1.0:0.85,20,3.2011981551559074,0.3566147814386392,0.15629331904329338,679.5389065755096,48.70549199611733,21.346123032254493,1680.0,269.1898175911133,117.9776392729616,900.0,0.0,0.0,2580.0,269.1898175911133,117.9776392729616,28.093645484949832,4.501501966406577,1.9728702219558798,16.156524749381425,5.023252393760111,2.201537428834885,44.49832775919732,5.715541953963657,2.5049467061136834
Mekong-Synthetic,forecast:oracle:0.05:1.0:0.85,20,1.1461870070484768,0.06906457159418716,0.030268883076614687,222.70737235400225,15.12084187646157,6.627001141307535,920.0,90.61195459645197,39.71244005015105,900.0,0.0,0.0,1820.0,90.61195459645197,39.71244005015105,15.384615384615387,1.5152500768637451,0.6640876262567066,24.451026149222237,6.431875547744598,2.81889374572482,5.618729096989966,1.5330180823677113,0.6718747980104726
Tokyo-Bernoulli,forecast:oracle:0.05:1.0:0.85,20,3.1403522243730193,0.0904223046119977,0.03962932227974544,670.2638704172448,25.916103668016504,11.358233224668842,1946.0,75.97783610334903,33.29875483684353,900.0,0.0,0.0,2846.0,75.97783610334903,33.29875483684353,32.54180602006689,1.2705323763101848,0.5568353651646076,27.805801604364557,3.824116138259452,1.6759927932444152,44.19732441471572,4.067688326597448,1.7827430114726348
Tokyo-Burst,forecast:oracle:0.05:1.0:0.85,20,3.1644534583275314,0.34816536312583707,0.15259019819461297,663.4626810022353,40.220735147835505,17.627514387532745,1762.0,98.60073662583812,43.21367814647775,900.0,0.0,0.0,2662.0,98.60073662583812,43.21367814647775,29.464882943143817,1.6488417495959553,0.7226367583023036,16.96715995385035,4.908853930939589,2.1514000919148035,41.939799331103686,3.6979234773314915,1.620686421097501
Mekong-Synthetic,trigger:persistence:0.02:1.0:0.85,20,1.1573198726528109,0.06180944752453064,0.02708918475804509,206.63793891040996,14.040849223113607,6.153673491642598,1182.0,86.5478267537058,37.93125748952758,900.0,0.0,0.0,2082.0,86.5478267537058,37.93125748952758,19.765886287625413,1.4472880728044446,0.634301964707819,29.97412976835626,4.826645104617542,2.115370485209516,6.622073578595318,1.0664870154139487,0.4674085428629452
Tokyo-Bernoulli,trigger:persistence:0.02:1.0:0.85,20,3.208533256019437,0.1209054531186613,0.052989151156653154,695.9805632321319,42.06072465532419,18.43392534439243,1923.0,174.2683955403576,76.37649183657992,900.0,0.0,0.0,2823.0,174.2683955403576,76.37649183657992,32.1571906354515,2.91418721639394,1.277198860143477,29.18598677564234,5.896619007245977,2.5843072237733886,46.070234113712374,5.521061055367335,2.4197116942347057
Tokyo-Burst,trigger:persistence:0.02:1.0:0.85,20,3.1920111868782652,0.3464634677395791,0.15184430965485682,673.6047178904629,45.206960989238816,19.812824214311348,1750.0,144.00292394692255,63.11206407319402,900.0,0.0,0.0,2650.0,144.00292394692255,63.11206407319402,29.264214046822747,2.4080756512863304,1.0553856868427094,16.8772094884565,4.280218311789493,1.8758883843253364,43.545150501672246,5.382543134724825,2.3590035388496253
Mekong-Synthetic,trigger:persistence:0.05:1.0:0.85,20,1.1541328239735598,0.06725045022914396,0.029473809333047107,207.11661603639828,15.046891830616238,6.594591104735454,1182.0,106.4053817396371,46.634214681362096,900.0,0.0,0.0,2082.0,106.4053817396371,46.634214681362096,19.765886287625413,1.7793542096929276,0.779836365909065,29.888397320755843,5.984655509745476,2.6228909221750696,6.471571906354515,1.40759206084485,0.6169044203970685
Tokyo-Bernoulli,trigger:persistence:0.05:1.0:0.85,20,3.2210805111485454,0.11340294597206185,0.04970103242428419,701.960285845226,37.04738561447859,16.2367326340339,1895.0,164.26871438687218,71.9939383413266,900.0,0.0,0.0,2795.0,164.26871438687218,71.9939383413266,31.688963210702344,2.7469684680078963,1.203912012396766,29.275384399963137,5.276329132622458,2.3124531999924387,47.22408026755853,5.044924542961186,2.211035667005981
Tokyo-Burst,trigger:persistence:0.05:1.0:0.85,20,3.2100285832063933,0.3422816488387327,0.15001154671380718,681.9282643153588,43.99244086725993,19.280537301965268,1732.0,140.13527299306946,61.41699130576677,900.0,0.0,0.0,2632.0,140.13527299306946,61.41699130576677,28.963210702341136,2.343399213930928,1.0270399883907488,17.575239067232022,3.36704028496445,1.4756704681915114,44.61538461538461,5.194185594198576,2.2764522069701174
