record_id,route,url,outcome,detail
S29,unpaywall_location,https://doi.org/10.1109/ETFA.2015.7301402,HTTP_202,
S31,openalex_location,http://dx.doi.org/10.1109/icmsp58539.2023.10170873,HTTP_202,
S32,openalex_location,https://doi.org/10.1109/tssa68467.2025.11303843,HTTP_202,
S37,openalex_location,https://doi.org/10.1109/access.2025.3532447,HTTP_202,
S37,openalex_location,https://doaj.org/article/2f6396f9d7bb4c95b3de4123203a6511,HTTP_403,
S37,semantic_scholar,https://doi.org/10.1109/access.2025.3532447,HTTP_202,
S37,unpaywall_location,https://doi.org/10.1109/access.2025.3532447,HTTP_202,
S37,unpaywall_location,https://doaj.org/article/2f6396f9d7bb4c95b3de4123203a6511,HTTP_403,
S39,openalex_location,https://doi.org/10.1016/j.agwat.2016.08.008,NOT_PDF,2706bytes
S39,openalex_location,http://www.sciencedirect.com/science/article/pii/S037837741630292X,HTTP_403,
S40,openalex_location,https://doi.org/10.1007/978-3-319-19620-6_76,NOT_PDF,242554bytes
S40,openalex_location,https://inria.hal.science/hal-01420287,NOT_PDF,103950bytes
S40,semantic_scholar,https://inria.hal.science/hal-01420287,NOT_PDF,103950bytes
S40,openaire,https://inria.hal.science/hal-01420287/file/978-3-319-19620-6_76_Chapter.pdf,OK_PDF,14p/26953chars
S47,openalex_location,https://doi.org/10.1109/access.2025.3643617,HTTP_202,
S47,semantic_scholar,https://doi.org/10.1109/access.2025.3643617,HTTP_202,
S47,unpaywall_location,https://doi.org/10.1109/access.2025.3643617,HTTP_202,
S49,openalex_location,https://doi.org/10.1016/j.biosystemseng.2016.11.005,NOT_PDF,2694bytes
S49,openalex_location,http://hdl.handle.net/11615/71523,NOT_PDF,25021bytes
S50,openalex_location,https://dergipark.org.tr/en/download/article-file/587896,HTTP_-1,
S50,openalex_location,https://doi.org/10.21923/jesd.443576,HTTP_-1,
S50,openalex_location,http://dergipark.gov.tr/jesd/issue/40779/443576,HTTP_404,
S50,openalex_location,https://dergipark.org.tr/tr/pub/jesd/issue/40779/443576,HTTP_-1,
S50,semantic_scholar,https://dergipark.org.tr/en/download/article-file/587896,HTTP_-1,
S50,publisher_mirror,https://dergipark.org.tr/tr/download/article-file/587896,HTTP_-1,
S50,unpaywall_location,https://dergipark.org.tr/en/download/article-file/587896,HTTP_-1,
S50,unpaywall_location,https://doi.org/10.21923/jesd.443576,HTTP_-1,
S51,openalex_location,https://doi.org/10.1109/icosec51865.2021.9591855,HTTP_202,
S56,openalex_location,https://doi.org/10.1109/ccdc52312.2021.9601377,HTTP_202,
S62,openalex_location,https://doi.org/10.1109/comapp.2018.8460420,HTTP_202,
S63,openalex_location,https://link.springer.com/content/pdf/10.1007/s42452-019-0227-8.pdf?error=cookies_not_supported&code=8105d0ce-be73-4658-adc2-e07c622a0906,OK_PDF,12p/61200chars
S64,openalex_location,https://doi.org/10.1016/j.compag.2019.03.005,NOT_PDF,2686bytes
S65,openalex_location,https://doi.org/10.1016/j.nahs.2020.100974,NOT_PDF,2719bytes
S65,semantic_scholar,https://www.sciencedirect.com/science/article/am/pii/S1751570X20301217,HTTP_403,
S01,semanticscholar_doi,https://doi.org/10.1016/j.atech.2025.101071,HTTP_200,size=2727
S03,arxiv_title,https://arxiv.org/pdf/2506.13278v1,OK_PDF,pages=6 chars=31295
S04,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S05,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S09,semanticscholar_doi,https://doi.org/10.1016/j.ecmx.2025.100939,HTTP_200,size=2748
S11,semanticscholar_doi,https://doi.org/10.1016/j.conengprac.2024.105908,HTTP_200,size=2672
S12,semanticscholar_doi,https://doi.org/10.1016/j.ifacol.2022.11.135,HTTP_200,size=2711
S13,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S14,semanticscholar_doi,https://www.sciencedirect.com/science/article/pii/S2214317317301828/pdf,HTTP_403,size=1207903
S15,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S17,semanticscholar_doi,https://dl.acm.org/doi/pdf/10.1145/3597311,HTTP_403,size=5662
S19,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S21,semanticscholar_doi,https://kth.diva-portal.org/smash/get/diva2:586202/FULLTEXT01,HTTP_000,size=0
S22,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
